"ACQ_BRANCHES","ACQ_BRANCHES_HREF","ACQ_CERT","ACQ_CHARTAGENT","ACQ_CHARTER","ACQ_CLASS","ACQ_CLASS_TYPE","ACQ_CLASS_TYPE_DESC","ACQ_CLCODE","ACQ_CNTYNAME","ACQ_CNTYNUM","ACQ_FDICREGION","ACQ_FDICREGION_DESC","ACQ_INSAGENT1","ACQ_INSAGENT2","ACQ_INSTNAME","ACQ_LATITUDE","ACQ_LONGITUDE","ACQ_ORGTYPE_NUM","ACQ_ORG_EFF_DTE","ACQ_PADDR","ACQ_PADDR2","ACQ_PCITY","ACQ_PSTALP","ACQ_PSTNUM","ACQ_PZIP5","ACQ_PZIPREST","ACQ_REGAGENT","ACQ_TRUST","ACQ_UNINUM","ASSISTED_PAYOUT_FLAG","BANK_INSURED","CERT","CHANGECODE","CHANGECODE_DESC","CHANGECODE_DESC_LONG","CHARTER_COM_TO_OTHER_FLAG","CHARTER_COM_TO_OTS_FLAG","CHARTER_OTHER_TO_COM_FLAG","CHARTER_OTS_TO_COM_FLAG","CLASS","CLASS_CHANGE_FLAG","CLASS_TYPE","CLASS_TYPE_DESC","EFFDATE","EFFYEAR","ENDDATE","ENDYEAR","FAILED_COM_TO_COM_FLAG","FAILED_OTHER_TO_COM_FLAG","FAILED_OTS_TO_COM_FLAG","FAILED_OTS_TO_OTS_FLAG","FAILED_RTC_FLAG","FRM_CLASS","FRM_CLASS_TYPE","FRM_CLASS_TYPE_DESC","FRM_INSAGENT1","FRM_LATITUDE","FRM_LONGITUDE","FRM_ORGTYPE_NUM","FRM_PSTALP","FRM_PSTNUM","FRM_REGAGENT","ID","INSAGENT1","INSAGENT1_CHANGE_FLAG","INSURED_COM_FLAG","INSURED_OTS_FLAG","NEW_CHARTER_DENOVO_FLAG","NEW_CHARTER_FLAG","ORGTYPE_NUM","ORG_ROLE_CDE","ORG_STAT_FLG","OUT_CERT","OUT_CHARTAGENT","OUT_CHARTER","OUT_CLASS","OUT_CLASS_TYPE","OUT_CLASS_TYPE_DESC","OUT_CLCODE","OUT_CNTYNAME","OUT_CNTYNUM","OUT_FDICREGION","OUT_FDICREGION_DESC","OUT_INSAGENT1","OUT_INSAGENT2","OUT_INSTNAME","OUT_LATITUDE","OUT_LONGITUDE","OUT_ORGTYPE_NUM","OUT_PADDR","OUT_PADDR2","OUT_PCITY","OUT_PSTALP","OUT_PSTNUM","OUT_PZIP5","OUT_PZIPREST","OUT_REGAGENT","OUT_TRUST","OUT_UNINUM","PROCDATE","PROCYEAR","PSTALP","REGAGENT","REGAGENT_CHANGE_FLAG","RELOCATE_FLAG","REPORT_TYPE","STNUM","SUR_CERT","SUR_CHANGECODE","SUR_CHANGECODE_DESC","SUR_CHARTAGENT","SUR_CHARTER","SUR_CLASS","SUR_CLASS_TYPE","SUR_CLASS_TYPE_DESC","SUR_CLCODE","SUR_CNTYNAME","SUR_CNTYNUM","SUR_FDICREGION","SUR_FDICREGION_DESC","SUR_INSAGENT1","SUR_INSAGENT2","SUR_INSTNAME","SUR_LATITUDE","SUR_LONGITUDE","SUR_MADDR","SUR_MADDR2","SUR_MCITY","SUR_MSTALP","SUR_MSTATE","SUR_MZIP5","SUR_ORGTYPE_NUM","SUR_PADDR","SUR_PADDR2","SUR_PCITY","SUR_PSTALP","SUR_PSTNUM","SUR_PZIP5","SUR_PZIPREST","SUR_REGAGENT","SUR_TRUST","TRANSNUM","UNASSIST_COM_TO_COM_FLAG","UNASSIST_COM_TO_OTS_FLAG","UNASSIST_OTHER_TO_COM_FLAG","UNASSIST_OTS_TO_COM_FLAG","UNASSIST_OTS_TO_OTS_FLAG","UNINUM","VOLUNTARY_LIQUIDATION_FLAG","WITHDRAW_INSURANCE_COM_FLAG"
"3","/api/history?filters=TRANSNUM:201200084 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","3218","OCC","5288","N","C","Commercial","3","UPSHUR","459","13","DALLAS","DIF","","The First National Bank of Gilmer","32.729797","-94.94265","10","2010-06-01T00:00:00","201 NORTH WOOD STREET","","GILMER","TX","48","75644","0000","OCC","","2074","0","Y","23739","223","MERGER -WITHOUT ASSISTANCE","Merged and became part of The First National Bank of Gilmer (3218) in Gilmer, TX. ","0","0","0","0","N","0","C","Commercial","2012-01-01T00:00:00","2012","9999-12-31T00:00:00","9999","0","0","0","0","0","N","C","Commercial","DIF","0","0","0","TX","0","OCC","201200084_223_16594_2074_16594","DIF","0","0","0","0","0","10","FI","N","23739","OCC","0","N","C","Commercial","3","WOOD","499","13","DALLAS","DIF","","Wood County National Bank","32.789473","-95.453332","10","417 SOUTH MAIN","","QUITMAN","TX","48","75783","0000","OCC","","16594","2012-01-04T00:00:00","2012","TX","OCC","0","0","223","48","3218","810","PARTICIPATED IN ABSORBTION/CONSOLIDATION/MERGER","OCC","5288","N","C","Commercial","3","UPSHUR","459","13","DALLAS","DIF","","The First National Bank of Gilmer","32.729797","-94.94265","P.O. Box 520","","GILMER","TX","TEXAS","75644","10","201 NORTH WOOD STREET","","GILMER","TX","48","75644","0000","OCC","","201200084","1","0","0","0","0","16594","0","0"
"3","/api/history?filters=TRANSNUM:201200093 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","16835","STATE","0","NM","C","Commercial","21","WHARTON","481","13","DALLAS","DIF","","Prosperity Bank","29.206658","-96.277985","10","2010-04-30T00:00:00","1301 NORTH MECHANIC STREET","","EL CAMPO","TX","48","77437","0000","FDIC","Full","10936","0","Y","11942","223","MERGER -WITHOUT ASSISTANCE","Merged and became part of Prosperity Bank (16835) in El Campo, TX. ","0","0","0","0","NM","0","C","Commercial","2012-01-01T00:00:00","2012","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","0","TX","0","FDIC","201200093_223_7626_10936_7626","DIF","0","0","0","0","0","10","FI","N","11942","STATE","0","NM","C","Commercial","21","TRAVIS","453","13","DALLAS","DIF","","Bank of Texas","30.272136","-97.741284","10","1005 CONGRESS AVENUE, SUITE 100","","AUSTIN","TX","48","78701","0000","FDIC","","7626","2012-01-05T00:00:00","2012","TX","FDIC","0","0","223","48","16835","810","PARTICIPATED IN ABSORBTION/CONSOLIDATION/MERGER","STATE","0","NM","C","Commercial","21","WHARTON","481","13","DALLAS","DIF","","Prosperity Bank","29.206658","-96.277985","P.O. DRAWER G","","EL CAMPO","TX","TEXAS","77437","10","1301 NORTH MECHANIC STREET","","EL CAMPO","TX","48","77437","0000","FDIC","Full","201200093","1","0","0","0","0","7626","0","0"
"1","/api/history?filters=TRANSNUM:201200200 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","49691","STATE","0","CU","N/A","N/A","91","SAINT LOUIS (CITY)","510","11","KANSAS CITY","NCUA","","ANHEUSER-BUSCH EMPLOYEES CREDIT UNION","38.599672","-90.211398","140","2011-01-01T00:00:00","1001 LYNCH STREET","0","SAINT LOUIS","MO","29","63118","","NCUA","","114086","0","N","39875","223","MERGER -WITHOUT ASSISTANCE","Merged and became part of ANHEUSER-BUSCH EMPLOYEES CREDIT UNION (49691) in Saint Louis, MO. The successor institution was not FDIC-insured.","0","0","0","0","CU","0","N/A","N/A","2012-01-01T00:00:00","2012","9999-12-31T00:00:00","9999","0","0","0","0","0","CU","N/A","N/A","NCUA","0","0","0","MO","0","NCUA","201200200_223_104270_114086_104270","NCUA","0","0","0","0","0","140","FI","N","39875","STATE","0","CU","N/A","N/A","91","SAINT LOUIS (CITY)","510","11","KANSAS CITY","NCUA","","ST. LOUIS CARPENTERS CREDIT UNION","38.625199","-90.287887","140","1401 HAMPTON AVENUE","0","SAINT LOUIS","MO","29","63139","","NCUA","","104270","2012-01-09T00:00:00","2012","MO","NCUA","0","0","223","29","49691","810","PARTICIPATED IN ABSORBTION/CONSOLIDATION/MERGER","STATE","0","CU","N/A","N/A","91","SAINT LOUIS (CITY)","510","11","KANSAS CITY","NCUA","","ANHEUSER-BUSCH EMPLOYEES CREDIT UNION","38.599672","-90.211398","1001 LYNCH STREET","0","SAINT LOUIS","MO","MISSOURI","63118","140","1001 LYNCH STREET","0","SAINT LOUIS","MO","29","63118","","NCUA","","201200200","0","0","0","0","0","104270","0","0"
"3","/api/history?filters=TRANSNUM:201200224 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","27550","STATE","0","NM","C","Commercial","21","ORANGE","95","5","ATLANTA","DIF","","BankFIRST","28.597723","-81.362863","10","2008-05-15T00:00:00","1031 WEST MORSE BOULEVARD, SUITE 150","","WINTER PARK","FL","12","32789","0000","FDIC","","40330","0","Y","34439","223","MERGER -WITHOUT ASSISTANCE","Merged and became part of BankFIRST (27550) in Winter Park, FL. ","0","0","0","0","NM","0","C","Commercial","2012-01-01T00:00:00","2012","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","0","FL","0","FDIC","201200224_223_57203_40330_57203","DIF","0","0","0","0","0","10","FI","N","34439","STATE","0","NM","C","Commercial","21","VOLUSIA","127","5","ATLANTA","DIF","","East Coast Community Bank","29.265774","-81.10376","10","1240 W. GRANADA BLVD","","ORMOND BEACH","FL","12","32174","0000","FDIC","","57203","2012-01-10T00:00:00","2012","FL","FDIC","0","0","223","12","27550","810","PARTICIPATED IN ABSORBTION/CONSOLIDATION/MERGER","STATE","0","NM","C","Commercial","21","ORANGE","95","5","ATLANTA","DIF","","BankFIRST","28.597723","-81.362863","1031 WEST MORSE BOULEVARD","","WINTER PARK","FL","FLORIDA","32789","10","1031 WEST MORSE BOULEVARD, SUITE 150","","WINTER PARK","FL","12","32789","0000","FDIC","","201200224","1","0","0","0","0","57203","0","0"
"17","/api/history?filters=TRANSNUM:201200230 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","9396","OCC","15790","N","C","Commercial","3","PASSAIC","31","2","NEW YORK","DIF","","Valley National Bank","40.85989853567878","-74.12521279164741","10","2011-07-21T00:00:00","615 MAIN AVENUE","","PASSAIC","NJ","34","07055","0000","OCC","Full","6037","0","Y","19695","223","MERGER -WITHOUT ASSISTANCE","Merged and became part of Valley National Bank (9396) in Passaic, NJ. ","0","0","0","0","N","1","C","Commercial","2012-01-01T00:00:00","2012","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","0","NY","0","FDIC","201200230_223_13494_6037_13494","DIF","0","0","0","0","0","10","FI","N","19695","STATE","0","NM","C","Commercial","21","NASSAU","59","2","NEW YORK","DIF","","State Bank of Long Island","40.786534","-73.548153","10","2 JERICHO PLAZA","","JERICHO","NY","36","11753","1658","FDIC","","13494","2012-01-10T00:00:00","2012","NJ","OCC","1","1","223","34","9396","810","PARTICIPATED IN ABSORBTION/CONSOLIDATION/MERGER","OCC","15790","N","C","Commercial","3","PASSAIC","31","2","NEW YORK","DIF","","Valley National Bank","40.85989853567878","-74.12521279164741","1455 VALLEY ROAD","","WAYNE","NJ","NEW JERSEY","07470","10","615 MAIN AVENUE","","PASSAIC","NJ","34","07055","0000","OCC","Full","201200230","1","0","0","0","0","13494","0","0"
"47","/api/history?filters=TRANSNUM:201200232 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","7888","OCC","249","N","C","Commercial","3","MERCER","85","2","NEW YORK","DIF","","First National Bank of Pennsylvania","41.404903","-80.389844","10","2006-03-31T00:00:00","166 MAIN STREET","","GREENVILLE","PA","42","16125","0000","OCC","Full","5061","0","Y","30237","223","MERGER -WITHOUT ASSISTANCE","Merged and became part of First National Bank of Pennsylvania (7888) in Greenville, PA. ","0","0","0","0","N","1","C","Commercial","2012-01-01T00:00:00","2012","9999-12-31T00:00:00","9999","0","0","0","0","0","SI","S","Savings","DIF","0","0","115","PA","42","FDIC","201200232_223_43071_5061_43071","DIF","0","0","0","0","0","10","FI","N","30237","STATE","0","SI","S","Savings","41","ALLEGHENY","3","2","NEW YORK","DIF","","Parkvale Savings Bank","40.438891","-79.764052","115","4220 WILLIAM PENN HIGHWAY","","MONROEVILLE","PA","42","15146","0000","FDIC","","43071","2012-01-10T00:00:00","2012","PA","OCC","1","0","223","42","7888","810","PARTICIPATED IN ABSORBTION/CONSOLIDATION/MERGER","OCC","249","N","C","Commercial","3","MERCER","85","2","NEW YORK","DIF","","First National Bank of Pennsylvania","41.404874","-80.389828","166 MAIN STREET","","GREENVILLE","PA","PENNSYLVANIA","16125","10","166 MAIN STREET","","GREENVILLE","PA","42","16125","0000","OCC","Full","201200232","0","0","0","1","0","43071","0","0"
"1","/api/history?filters=TRANSNUM:201200233 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","7213","OCC","1461","N","C","Commercial","3","MINNEHAHA","99","16","COMPLEX FINANCIAL INSTITUTIONS","DIF","","Citibank, National Association","43.602012341997124","-96.7187542286672","10","2011-07-01T00:00:00","701 EAST 60TH STREET NORTH","","SIOUX FALLS","SD","46","57104","0000","OCC","Full","4759","0","Y","18708","223","MERGER -WITHOUT ASSISTANCE","Merged and became part of Citibank, National Association (7213) in Sioux Falls, SD. ","0","0","0","0","N","1","C","Commercial","2012-01-01T00:00:00","2012","9999-12-31T00:00:00","9999","0","0","0","0","0","SB","S","Savings","DIF","0","0","0","DE","0","OCC","201200233_223_12577_4759_12577","DIF","0","0","0","0","0","10","FI","N","18708","OCC","0","SB","S","Savings","33","NEW CASTLE","3","2","NEW YORK","DIF","","Citicorp Trust Bank, fsb","39.738717","-75.689691","115","4500 NEW LINDEN HILL ROAD","","WILMINGTON","DE","10","19808","0000","OCC","None","12577","2012-01-10T00:00:00","2012","SD","OCC","0","1","223","46","7213","810","PARTICIPATED IN ABSORBTION/CONSOLIDATION/MERGER","OCC","1461","N","C","Commercial","3","MINNEHAHA","99","16","COMPLEX FINANCIAL INSTITUTIONS","DIF","","Citibank, National Association","43.602012341997124","-96.7187542286672","701 East 60th Street North","","SIOUX FALLS","SD","SOUTH DAKOTA","57104","10","701 EAST 60TH STREET NORTH","","SIOUX FALLS","SD","46","57104","0000","OCC","Full","201200233","0","0","0","1","0","12577","0","0"
"1","/api/history?filters=TRANSNUM:201200240 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","50","STATE","0","NM","C","Commercial","21","FRANKLIN","59","5","ATLANTA","DIF","","Community Spirit Bank","34.441674","-88.145311","10","2011-05-18T00:00:00","200 4TH AVENUE SW","","RED BAY","AL","1","35582","0000","FDIC","","31","0","Y","34917","223","MERGER -WITHOUT ASSISTANCE","Merged and became part of Community Spirit Bank (50) in Red Bay, AL. ","0","0","0","0","NM","0","C","Commercial","2012-01-01T00:00:00","2012","9999-12-31T00:00:00","9999","0","0","0","0","0","NM","C","Commercial","DIF","0","0","0","MS","0","FDIC","201200240_223_61980_31_61980","DIF","0","0","0","0","0","10","FI","N","34917","STATE","0","NM","C","Commercial","21","TISHOMINGO","141","13","DALLAS","DIF","","Spirit Bank","34.510541","-88.209949","10","342 SECOND STREET","","BELMONT","MS","28","38827","0000","FDIC","","61980","2012-01-11T00:00:00","2012","AL","FDIC","0","1","223","1","50","810","PARTICIPATED IN ABSORBTION/CONSOLIDATION/MERGER","STATE","0","NM","C","Commercial","21","FRANKLIN","59","5","ATLANTA","DIF","","Community Spirit Bank","34.441674","-88.145311","P.O. Box  449","","RED BAY","AL","ALABAMA","35582","10","200 4TH AVENUE SW","","RED BAY","AL","1","35582","0000","FDIC","","201200240","1","0","0","0","0","61980","0","0"
"2","/api/history?filters=TRANSNUM:201200396 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","1857","STATE","0","SM","C","Commercial","13","ALLAMAKEE","5","11","KANSAS CITY","DIF","","Waukon State Bank","43.269221","-91.475799","10","2006-05-18T00:00:00","22 WEST MAIN STREET","","WAUKON","IA","19","52172","0000","FED","Full","1236","0","Y","34135","223","MERGER -WITHOUT ASSISTANCE","Merged and became part of Waukon State Bank (1857) in Waukon, IA. ","0","0","0","0","SM","0","C","Commercial","2012-01-01T00:00:00","2012","9999-12-31T00:00:00","9999","0","0","0","0","0","SM","C","Commercial","DIF","0","0","10","IA","19","FED","201200396_223_56278_1236_56278","DIF","0","0","0","0","0","10","FI","N","34135","STATE","0","SM","C","Commercial","13","WINNESHIEK","191","11","KANSAS CITY","DIF","","Viking State Bank & Trust","43.304284","-91.788616","10","321 WEST WATER STREET","","DECORAH","IA","19","52101","0429","FED","None","56278","2012-01-19T00:00:00","2012","IA","FED","0","0","223","19","1857","810","PARTICIPATED IN ABSORBTION/CONSOLIDATION/MERGER","STATE","0","SM","C","Commercial","13","ALLAMAKEE","5","11","KANSAS CITY","DIF","","Waukon State Bank","43.269221","-91.475799","22 MAIN WEST STREET","","WAUKON","IA","IOWA","52172","10","22 WEST MAIN STREET","","WAUKON","IA","19","52172","0000","FED","Full","201200396","1","0","0","0","0","56278","0","0"
"2","/api/history?filters=TRANSNUM:201200414 AND REPORT_TYPE:713&sort_by=OFF_PSTALP&sort_order=asc","3787","OCC","9582","N","C","Commercial","3","EFFINGHAM","49","9","CHICAGO","DIF","","The First National Bank of Dieterich","39.06026","-88.38008","10","2006-03-31T00:00:00","101 SOUTH MAIN STREET","","DIETERICH","IL","17","62424","0000","OCC","","2450","0","Y","11704","223","MERGER -WITHOUT ASSISTANCE","Merged and became part of The First National Bank of Dieterich (3787) in Dieterich, IL. ","0","0","0","0","N","1","C","Commercial","2012-01-14T00:00:00","2012","9999-12-31T00:00:00","9999","0","0","0","0","0","SM","C","Commercial","DIF","0","0","0","IL","0","FED","201200414_223_7483_2450_7483","DIF","0","0","0","0","0","10","FI","N","11704","STATE","0","SM","C","Commercial","13","RANDOLPH","157","9","CHICAGO","DIF","","First State Bank of Red Bud","38.211794","-89.994275","10","115 WEST MARKET STREET","","RED BUD","IL","17","62278","0000","FED","","7483","2012-01-20T00:00:00","2012","IL","OCC","1","0","223","17","3787","810","PARTICIPATED IN ABSORBTION/CONSOLIDATION/MERGER","OCC","9582","N","C","Commercial","3","EFFINGHAM","49","9","CHICAGO","DIF","","The First National Bank of Dieterich","39.06026","-88.38008","101 S Main St","","DIETERICH","IL","ILLINOIS","62424","10","101 SOUTH MAIN STREET","","DIETERICH","IL","17","62424","0000","OCC","","201200414","1","0","0","0","0","7483","0","0"
