,Name,PreNon,PostNon,OvNon,PreInput,PostInput,OvInput,PreOutput,postOutput,OvOutput
0,"TD Bank, NA",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Scottrade Bank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,Manufacturers & Traders Trust Co,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,Hudson City Savings Bank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,"CIT Bank, NA",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,CIT Bank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Frost  Bank,0.75,1.0,0.88,0.94,1.0,0.98,0.75,1.0,0.88
7,Western National Bank,0.78,1.0,0.89,0.9,1.0,0.96,0.79,1.0,0.9
8,HanCock Bank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,Whitney Bank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,Trustmark National Bank,0.7,0.88,0.82,0.8,0.89,0.88,0.76,0.94,0.86
11,Reliance Bank,0.84,0.88,0.87,0.89,0.89,0.91,0.89,0.94,0.92
12,Bank of Hope,0.98,1.0,0.99,0.98,1.0,0.99,0.98,1.0,0.99
13,Wilshire Bank,0.89,1.0,0.95,0.93,1.0,0.97,0.91,1.0,0.96
14,Great Western Bank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,Home Federal Bank,0.66,1.0,0.85,0.69,1.0,0.88,0.77,1.0,0.89
16,PlainsCapital Bank,0.78,1.0,0.9,0.8,1.0,0.92,0.92,1.0,0.96
17,"Southwest Securities , FSB",0.54,1.0,0.76,0.66,1.0,0.86,0.61,1.0,0.8
18,Northwest Bank,0.98,1.0,0.99,0.99,1.0,1.0,0.98,1.0,0.99
19,The Lorain National Bank,0.61,1.0,0.81,0.65,1.0,0.86,0.67,1.0,0.84
20,The Provident Bank,0.8,0.82,0.82,0.82,0.86,0.84,0.8,0.86,0.84
21,Team Capital Bank,1.0,0.82,0.89,1.0,0.86,0.92,1.0,0.86,0.92
22,Union First Market Bank,0.91,0.92,0.93,0.92,0.95,0.95,0.92,0.94,0.94
23,StellarOne Bank,0.91,0.92,0.93,0.93,0.95,0.95,0.92,0.94,0.94
24,BancFirst,0.68,0.76,0.73,0.75,0.79,0.8,0.69,0.79,0.75
25,Bank of Commerce,0.8,0.76,0.78,0.86,0.79,0.82,0.89,0.79,0.84
26,Southside Bank,0.85,1.0,0.92,0.96,1.0,0.98,0.85,1.0,0.92
27,First Bank & Trust East Texas,0.7,1.0,0.86,0.79,1.0,0.92,0.72,1.0,0.87
28,ViewPoint Bank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,LegacyTexas Bank,0.73,1.0,0.88,0.77,1.0,0.91,0.78,1.0,0.9
30,Beneficial Bank,0.67,0.79,0.74,0.76,0.84,0.82,0.67,0.85,0.76
31,Conestoga Bank,0.74,0.79,0.75,0.86,0.84,0.84,0.78,0.85,0.81
32,"NBH Bank, NA",0.89,0.91,0.91,0.96,0.97,0.97,0.89,0.91,0.91
33,Pine River Valley Bank,1.0,0.91,0.91,1.0,0.97,0.97,1.0,0.91,0.93
34,"Florida Community Bank, NA",0.84,0.81,0.86,0.9,0.85,0.9,0.84,0.86,0.87
35,Great Florida Bank,1.0,0.82,0.9,1.0,0.85,0.93,1.0,0.86,0.92
36,EagleBank,0.84,1.0,0.93,0.86,1.0,0.95,0.87,1.0,0.94
37,Virginia Heritage Bank,0.7,1.0,0.87,0.72,1.0,0.89,0.84,1.0,0.93
38,Hanmi Bank,0.84,0.78,0.8,0.86,0.81,0.83,0.85,0.93,0.87
39,United Central Bank,0.88,0.78,0.82,0.94,0.81,0.86,0.89,0.93,0.89
40,Liberty Bank,0.71,0.85,0.77,0.73,0.86,0.79,0.8,0.93,0.86
41,Naugatuck Valley Savings and Loan,0.67,0.85,0.75,0.7,0.86,0.77,0.83,0.93,0.87
42,"Sabadell United Bank, NA",0.72,0.85,0.8,0.78,0.93,0.86,0.79,0.88,0.85
43,"JGB Bank, NA",0.52,0.85,0.68,0.65,0.93,0.81,0.55,0.88,0.71
44,ServisFirst Bank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,Metro Bank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,East Boston Savings Bank,0.77,0.93,0.87,0.8,0.98,0.91,0.78,0.93,0.87
47,Meetinghouse Bank,1.0,0.93,0.97,1.0,0.98,0.99,1.0,0.93,0.97
48,Fidelity Bank,0.79,0.58,0.67,0.81,0.61,0.7,0.85,0.8,0.8
49,American Enterprise Bank of Florida,1.0,0.58,0.74,1.0,0.61,0.77,1.0,0.8,0.86
