,Name1,DiffNon1,DiffInput1,DiffOutput1,Name2,DiffNon2,DiffInput2,DiffOutput2
0,"TD Bank, NA",0.0,0.0,0.0,Scottrade Bank,0.0,0.0,0.0
1,Manufacturers & Traders Trust Co,0.0,0.0,0.0,Hudson City Savings Bank,0.0,0.0,0.0
2,"CIT Bank, NA",0.0,0.0,0.0,CIT Bank,0.0,0.0,0.0
3,Frost  Bank,0.25,0.06,0.25,Western National Bank,0.22,0.1,0.21
4,HanCock Bank,0.0,0.0,0.0,Whitney Bank,0.0,0.0,0.0
5,Trustmark National Bank,0.17,0.09,0.18,Reliance Bank,0.04,0.01,0.05
6,Bank of Hope,0.02,0.02,0.02,Wilshire Bank,0.11,0.07,0.09
7,Great Western Bank,0.0,0.0,0.0,Home Federal Bank,0.34,0.31,0.23
8,PlainsCapital Bank,0.22,0.2,0.08,"Southwest Securities , FSB",0.46,0.34,0.39
9,Northwest Bank,0.02,0.01,0.02,The Lorain National Bank,0.39,0.35,0.33
10,The Provident Bank,0.02,0.04,0.05,Team Capital Bank,-0.18,-0.14,-0.14
11,Union First Market Bank,0.01,0.03,0.02,StellarOne Bank,0.01,0.02,0.02
12,BancFirst,0.08,0.04,0.11,Bank of Commerce,-0.04,-0.06,-0.1
13,Southside Bank,0.15,0.04,0.15,First Bank & Trust East Texas,0.3,0.21,0.28
14,ViewPoint Bank,0.0,-0.0,0.0,LegacyTexas Bank,0.27,0.23,0.22
15,Beneficial Bank,0.12,0.08,0.18,Conestoga Bank,0.05,-0.02,0.06
16,"NBH Bank, NA",0.02,0.0,0.02,Pine River Valley Bank,-0.09,-0.03,-0.09
17,"Florida Community Bank, NA",-0.02,-0.05,0.02,Great Florida Bank,-0.18,-0.15,-0.14
18,EagleBank,0.16,0.14,0.13,Virginia Heritage Bank,0.3,0.28,0.16
19,Hanmi Bank,-0.06,-0.05,0.08,United Central Bank,-0.1,-0.13,0.04
20,Liberty Bank,0.15,0.13,0.13,Naugatuck Valley Savings and Loan,0.18,0.16,0.1
21,"Sabadell United Bank, NA",0.12,0.15,0.09,"JGB Bank, NA",0.33,0.28,0.33
22,ServisFirst Bank,0.0,0.0,0.0,Metro Bank,0.0,0.0,0.0
23,East Boston Savings Bank,0.16,0.18,0.15,Meetinghouse Bank,-0.07,-0.02,-0.07
24,Fidelity Bank,-0.21,-0.2,-0.05,American Enterprise Bank of Florida,-0.42,-0.39,-0.2
25,Bankers Trust Co (953),0.25,0.24,0.24,Bankers Trust Co (57484),-0.12,-0.11,-0.03
26,Tri Counties Bank,-0.05,0.02,-0.01,North Valley Bank,0.1,0.11,0.12
27,Northfield Bank,-0.05,-0.02,-0.02,Hopewell Valley Community Bank,0.14,0.14,0.16
28,First American Bank,0.34,0.14,0.34,Bank of Coral Gables,0.0,0.0,0.0
29,Kearny Federal Savings Bank,0.08,0.12,0.1,Atlas Bank,-0.33,-0.19,-0.3
30,Cardinal Bank,0.09,0.08,0.09,The Business Bank,0.16,0.15,0.17
31,Bar Harbor Bank & Trust,-0.12,-0.07,-0.1,"Lake Sunapee Bank, FSB",0.07,0.12,0.07
32,HomeTrust Bank,0.17,0.1,0.16,TriSummit Bank,0.0,0.0,0.0
33,Bank of Colorado,0.11,0.08,0.11,MontroseBank,0.22,0.08,0.2
34,Heartland Bank and Trust Co,0.07,0.04,0.08,American Midwest Bank,0.03,0.06,0.03
35,ConnectOne Bank,0.0,0.0,0.0,Union Center National Bank,0.26,0.14,0.26
36,Stockman Bank of Montana,0.0,0.0,0.0,Basin State Bank,0.05,0.03,0.04
37,RCB Bank,0.04,0.08,0.07,Cornerbank,-0.11,0.05,-0.11
38,American National Bank,0.05,0.03,0.12,"Western Bank, National Association",-0.03,-0.07,0.04
39,First Federal Bank of the Midwest,0.06,0.04,0.13,The Commercial Savings Bank,0.04,0.03,0.06
40,Premier Bank & Trust,0.35,0.32,0.3,"Home Savings & Loan Co (Youngstown, OH)",0.32,0.26,0.28
41,Sonabank,0.08,0.07,0.05,EVB,0.17,0.13,0.16
42,"Atlantic Capital Bank, NA",0.37,0.26,0.37,Atlantic Capital Bank,0.23,0.22,0.21
43,Southern Bank and Trust Co,0.06,0.04,0.08,Heritage Bank,-0.12,-0.05,-0.09
44,CNB Bank,0.21,0.13,0.21,Lake National Bank,0.0,0.0,0.0
