,Name1,pAct1,pVirt1,pDiff1,pAct2,pVirt2,pDiff2,pAct3,pVirt3,pDiff3
0,"TD Bank, NA",1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1,Manufacturers & Traders Trust Co,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.0
2,"CIT Bank, NA",0.53,1.0,-0.47,0.83,1.0,-0.17,0.6,1.0,-0.4
3,Frost  Bank,1.0,1.0,0.0,1.0,1.0,-0.0,1.0,1.0,0.0
4,HanCock Bank,0.99,1.0,-0.01,0.99,1.0,-0.01,1.0,1.0,-0.0
5,Trustmark National Bank,0.72,0.78,-0.06,0.87,0.9,-0.03,0.77,0.83,-0.06
6,Bank of Hope,0.55,0.5,0.05,0.9,0.95,-0.05,0.6,0.51,0.09
7,Great Western Bank,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
8,PlainsCapital Bank,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.0
9,Northwest Bank,0.83,0.84,-0.01,0.89,0.9,-0.01,0.88,0.88,0.01
10,The Provident Bank,0.78,0.78,0.0,0.92,0.92,-0.0,0.8,0.79,0.01
11,Union First Market Bank,1.0,0.94,0.06,1.0,0.95,0.05,1.0,0.96,0.04
12,BancFirst,0.76,0.75,0.01,0.8,0.79,0.01,0.79,0.78,0.01
13,Southside Bank,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.0
14,ViewPoint Bank,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
15,Beneficial Bank,0.68,0.7,-0.02,0.88,0.87,0.01,0.7,0.75,-0.05
16,"NBH Bank, NA",0.91,1.0,-0.09,0.94,1.0,-0.06,0.94,1.0,-0.06
17,"Florida Community Bank, NA",1.0,0.71,0.29,1.0,0.9,0.1,1.0,0.73,0.27
18,EagleBank,0.38,0.36,0.02,0.97,0.97,0.0,0.38,0.36,0.02
19,Hanmi Bank,0.44,0.52,-0.08,0.87,0.92,-0.05,0.46,0.53,-0.07
20,Liberty Bank,0.42,0.42,0.01,0.83,0.82,0.01,0.44,0.45,-0.0
21,"Sabadell United Bank, NA",0.31,0.3,0.01,0.9,0.93,-0.03,0.31,0.3,0.01
22,ServisFirst Bank,1.0,0.76,0.24,1.0,0.99,0.01,1.0,0.76,0.24
23,East Boston Savings Bank,0.49,0.48,0.01,0.82,0.8,0.02,0.54,0.52,0.02
24,Fidelity Bank,0.62,0.65,-0.03,0.68,0.68,-0.0,0.77,0.8,-0.02
25,Bankers Trust Co (953),0.35,0.32,0.03,0.85,0.83,0.02,0.36,0.33,0.03
26,Tri Counties Bank,0.53,0.51,0.02,0.87,0.89,-0.02,0.56,0.54,0.02
27,Northfield Bank,0.45,0.5,-0.05,0.87,0.89,-0.03,0.46,0.5,-0.04
28,First American Bank,1.0,0.95,0.05,1.0,0.95,0.05,1.0,0.97,0.03
29,Kearny Federal Savings Bank,0.64,0.67,-0.02,0.85,0.87,-0.02,0.66,0.68,-0.02
30,Cardinal Bank,0.47,0.44,0.04,0.93,0.92,0.01,0.47,0.45,0.03
31,Bar Harbor Bank & Trust,0.79,0.77,0.02,0.96,0.93,0.03,0.79,0.77,0.02
32,HomeTrust Bank,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
33,Bank of Colorado,0.85,0.93,-0.08,0.96,0.99,-0.02,0.85,0.93,-0.08
34,Heartland Bank and Trust Co,1.0,0.86,0.14,1.0,0.96,0.04,1.0,0.86,0.14
35,ConnectOne Bank,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
36,Stockman Bank of Montana,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
37,RCB Bank,1.0,0.95,0.05,1.0,0.97,0.03,1.0,0.95,0.05
38,American National Bank,0.61,1.0,-0.39,0.93,1.0,-0.07,0.61,1.0,-0.39
39,First Federal Bank of the Midwest,0.59,0.65,-0.06,0.91,0.93,-0.01,0.59,0.65,-0.06
40,Premier Bank & Trust,0.55,1.0,-0.45,0.94,1.0,-0.06,0.56,1.0,-0.44
41,Sonabank,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
42,"Atlantic Capital Bank, NA",1.0,0.69,0.31,1.0,0.88,0.12,1.0,0.73,0.27
43,Southern Bank and Trust Co,1.0,0.98,0.02,1.0,0.98,0.02,1.0,0.99,0.01
44,CNB Bank,0.94,1.0,-0.06,0.98,1.0,-0.02,0.94,1.0,-0.06
